spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
3,4,2,1.6,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17138,85.69,7.089999999999893,199.99999999996308,22.453278178475955,22.453278178475955,"[20000, 20000]"
3,4,2,1.6,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47138,94.276,7.089999999999893,499.99999999969026,41.20303200786434,41.20844263118031,"[50000, 50000]"
3,4,4,1.6,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,18244,91.22,5.279999999999932,199.99999999996308,89.83465198382942,89.83465198382942,"[20000, 20000, 20000, 20000]"
3,4,4,1.6,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,48244,96.488,5.279999999999932,499.99999999969026,162.6809101733242,162.69993767535112,"[50000, 50000, 50000, 50000]"
3,4,4,1.6,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,18244,91.22,5.279999999999932,199.99999999996308,89.87443597879981,89.87443597879981,"[20000, 20000, 20000, 20000]"
3,4,4,1.6,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,48244,96.488,5.279999999999932,499.99999999969026,161.40882015987503,161.42241123275141,"[50000, 50000, 50000, 50000]"
3,4,1,1.6,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,12011,60.055,10.609999999999818,199.99999999996308,3.8749062727182957,3.8749062727182957,[20000]
3,4,1,1.6,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,42011,84.022,10.609999999999818,499.99999999969026,25.126074484898027,25.126074484898027,[50000]
3,4,1,1.6,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,12011,60.055,10.609999999999818,199.99999999996308,3.8749062727182957,3.8749062727182957,[20000]
3,4,1,1.6,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,42011,84.022,10.609999999999818,499.99999999969026,25.126074484898027,25.126074484898027,[50000]
3,4,2,1.6,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,15760,78.8,7.649999999999881,199.99999999996308,15.4903435923709,15.4903435923709,"[20000, 20000]"
3,4,2,1.6,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,45760,91.52,7.649999999999881,499.99999999969026,100.51441382674565,100.51441382674565,"[50000, 50000]"
3,4,2,1.6,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,15760,78.8,7.649999999999881,199.99999999996308,15.499687454973406,15.499687454973406,"[20000, 20000]"
3,4,2,1.6,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,45760,91.52,7.649999999999881,499.99999999969026,100.65638032468975,100.65638032468975,"[50000, 50000]"
3,4,4,1.6,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,17643,88.215,5.589999999999925,199.99999999996308,61.945607004558035,61.945607004558035,"[20000, 20000, 20000, 20000]"
3,4,4,1.6,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,47643,95.286,5.589999999999925,499.99999999969026,401.9676789637631,401.9676789637631,"[50000, 50000, 50000, 50000]"
3,4,4,1.6,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,17643,88.215,5.589999999999925,199.99999999996308,61.99493055637647,61.99493055637647,"[20000, 20000, 20000, 20000]"
3,4,4,1.6,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,47643,95.286,5.589999999999925,499.99999999969026,402.67943828913184,402.67943828913184,"[50000, 50000, 50000, 50000]"
3,4,1,1.6,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,8420,42.1,11.749999999999794,199.99999999996308,1.7479608930720347,1.7479608930720347,[20000]
3,4,1,1.6,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,38420,76.84,11.749999999999794,499.99999999969026,11.177500479233998,11.177500479233998,[50000]
3,4,1,1.6,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,8420,42.1,11.749999999999794,199.99999999996308,1.7479608930720347,1.7479608930720347,[20000]
3,4,1,1.6,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,38420,76.84,11.749999999999794,499.99999999969026,11.177500479233998,11.177500479233998,[50000]
3,4,2,1.6,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,14049,70.245,8.269999999999868,199.99999999996308,6.99488059644473,6.99488059644473,"[20000, 20000]"
3,4,2,1.6,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,44049,88.098,8.269999999999868,499.99999999969026,44.71093092698071,44.71093092698071,"[50000, 50000]"
3,4,2,1.6,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,14050,70.25,8.269999999999868,199.99999999996308,6.9961655119579635,6.9961655119579635,"[20000, 20000]"
3,4,2,1.6,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,44050,88.1,8.269999999999868,499.99999999969026,44.69994194242402,44.69994194242402,"[50000, 50000]"
3,4,4,1.6,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,16861,84.305,5.919999999999918,199.99999999996308,27.98134814857513,27.98134814857513,"[20000, 20000, 20000, 20000]"
3,4,4,1.6,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,46861,93.722,5.919999999999918,499.99999999969026,178.88573560661158,178.88573560661158,"[50000, 50000, 50000, 50000]"
3,4,4,1.6,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,16861,84.305,5.919999999999918,199.99999999996308,27.984294314689155,27.984294314689155,"[20000, 20000, 20000, 20000]"
3,4,4,1.6,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,46861,93.722,5.919999999999918,499.99999999969026,178.8566954407694,178.8566954407694,"[50000, 50000, 50000, 50000]"
3,4,1,2.0,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,15814,79.07,8.699999999999859,199.99999999996308,8.765558150644862,8.765558150644862,[20000]
3,4,1,2.0,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,45814,91.628,8.699999999999859,499.99999999969026,16.119458657268876,16.120713465975104,[50000]
3,4,1,2.0,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,15814,79.07,8.699999999999859,199.99999999996308,8.765558150644862,8.765558150644862,[20000]
3,4,1,2.0,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,45814,91.628,8.699999999999859,499.99999999969026,16.119458657268876,16.120713465975104,[50000]
3,4,2,2.0,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17573,87.865,6.439999999999907,199.99999999996308,35.08261921189401,35.08261921189401,"[20000, 20000]"
3,4,2,2.0,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47573,95.146,6.439999999999907,499.99999999969026,64.14373509077275,64.14856508281078,"[50000, 50000]"
3,4,2,2.0,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17573,87.865,6.439999999999907,199.99999999996308,35.19802505460139,35.19802505460139,"[20000, 20000]"
3,4,2,2.0,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47573,95.146,6.439999999999907,499.99999999969026,65.00306078018849,65.00306078018849,"[50000, 50000]"
3,4,4,2.0,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,18481,92.405,4.799999999999942,199.99999999996308,140.24768312831333,140.24768312831333,"[20000, 20000, 20000, 20000]"
3,4,4,2.0,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,48481,96.962,4.799999999999942,499.99999999969026,259.1932691546693,259.2055183241477,"[50000, 50000, 50000, 50000]"
3,4,4,2.0,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,18481,92.405,4.799999999999942,199.99999999996308,140.35234299140626,140.35234299140626,"[20000, 20000, 20000, 20000]"
3,4,4,2.0,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,48481,96.962,4.799999999999942,499.99999999969026,256.8380910602011,256.86635705100605,"[50000, 50000, 50000, 50000]"
3,4,1,2.0,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,13516,67.58,9.539999999999841,199.99999999996308,6.218530879998401,6.218530879998401,[20000]
3,4,1,2.0,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,43516,87.032,9.539999999999841,499.99999999969026,40.126868492456424,40.126868492456424,[50000]
3,4,1,2.0,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,13516,67.58,9.539999999999841,199.99999999996308,6.218530879998401,6.218530879998401,[20000]
3,4,1,2.0,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,43516,87.032,9.539999999999841,499.99999999969026,40.126868492456424,40.126868492456424,[50000]
3,4,2,2.0,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,16512,82.56,6.909999999999897,199.99999999996308,24.865925866543485,24.865925866543485,"[20000, 20000]"
3,4,2,2.0,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,46512,93.024,6.909999999999897,499.99999999969026,160.49422697474367,160.49422697474367,"[50000, 50000]"
3,4,2,2.0,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,16512,82.56,6.909999999999897,199.99999999996308,24.997419496622403,24.997419496622403,"[20000, 20000]"
