tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_radius,max_core_length
5650,6.6479,0.004672,5.1610,8998266.11,-5.0762,-1.4037,6.8878,2.1474,133481.7750
5700,6.6654,0.004808,4.9744,9366687.95,-5.0762,-1.4037,6.8878,2.1474,138000.5211
5750,6.8317,0.004937,4.9887,9750908.65,-5.0762,-1.4037,6.8878,2.1474,142800.6738
5800,6.9088,0.005060,5.1172,10150151.26,-4.8709,-1.3612,6.8087,2.2568,147634.8918
5850,7.3744,0.005197,5.0422,10564414.47,-4.8709,-1.3612,6.8087,2.2568,152770.1624
5900,7.4371,0.005328,5.0658,10996203.89,-4.8709,-1.3612,6.8087,2.2568,157941.8766
5950,7.4008,0.005453,5.0941,11447723.12,-4.8709,-1.3612,6.8087,2.2568,163435.6611
6000,7.4072,0.005573,5.0566,11919837.62,-4.8709,-1.3612,6.8087,2.2568,168968.4333
6050,7.1989,0.005687,5.2155,12413481.44,-4.8709,-1.3612,6.8087,2.2568,174845.7610
6100,7.1665,0.009112,5.4683,12928207.71,-4.8085,-1.3687,6.8147,2.1994,180764.7983
6150,6.9375,0.018853,5.4946,13464348.24,-4.8085,-1.3687,6.8147,2.1994,187052.4459
6200,6.7768,0.033346,5.4155,14025040.49,-4.6629,-1.2509,6.7520,2.2086,193384.7150
6250,5.6424,0.050940,5.5462,14610149.36,-3.6427,-0.8724,5.8601,2.7956,200111.3284
6300,3.5972,0.070462,5.6936,15129436.66,-1.9042,-0.6918,4.4343,2.7777,206885.6786
6350,1.6779,0.095024,5.6811,15473678.56,-0.5917,0.0402,2.6243,5.0046,214081.9040
6400,1.9964,0.115638,5.6936,15833432.02,0.7932,0.2866,1.1099,7.8532,221329.1988
6450,1.8267,0.135946,5.6811,16209483.41,0.7051,0.2185,0.5687,8.3362,229027.8216
6500,1.9229,0.155213,5.6936,16602501.53,0.7051,0.2185,0.5687,8.3362,236781.0792
6550,1.7321,0.173111,5.6811,17013346.34,0.6473,-0.2170,0.3134,8.4075,245017.1738
6600,1.5577,0.189409,5.6936,17442753.15,0.3561,-0.7521,0.1162,8.2769,253311.7174
