tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_density
7250,16.4926,0.000000,7.5374,417012884021584611015043240165376.00,4.9954,0.4384,17.1597,27.9358
7300,16.7303,0.000000,7.4175,562655766484451783063700324220928.00,4.9954,0.4384,17.1597,21.3144
7350,16.3182,0.000000,7.7212,759164821383317832050905792380928.00,4.9954,0.4384,17.1597,12.7248
7400,16.2704,0.000000,7.6738,1024305197673085859445074410078208.00,4.9954,0.4384,17.1597,6.8282
7450,16.4218,0.000000,7.4508,1382046570893555011552202998153216.00,4.9954,0.4384,17.1597,4.6007
7500,14.2876,0.072606,7.7018,1864730090894422477363970268200960.00,1.8270,1.7398,15.9569,26.3437
7550,14.3458,0.000000,7.4978,2515992142061662897684320054411264.00,1.8270,1.7398,15.9569,35.1639
7600,14.2175,0.000000,7.5856,3394709234605635884515565649264640.00,1.8270,1.7398,15.9569,24.1841
7650,14.4863,0.000000,7.5355,4580320660040474914649411522920448.00,1.8270,1.7398,15.9569,13.8633
7700,14.5936,0.000000,7.7260,6180010098331799131508359617839104.00,1.8270,1.7398,15.9569,7.2796
7750,16.9158,0.064909,7.8791,8338395421154339423811933122330624.00,2.4292,0.1866,18.7422,6.1749
7800,17.2493,0.000000,7.7731,11250602684923612670288427162271744.00,2.4292,0.1866,18.7422,27.6182
7850,16.7010,0.000000,7.8287,15179906251892260742389338896072704.00,2.4292,0.1866,18.7422,21.4590
7900,17.1931,0.000000,7.9315,20481529770939062443561896938307584.00,2.4292,0.1866,18.7422,12.8951
7950,16.6934,0.000000,7.4466,27634759716320123388385945393823744.00,2.4292,0.1866,18.7422,6.9430
8000,17.4132,0.000000,7.5479,37286274666263773470755582092771328.00,2.4292,0.1866,18.7422,3.8333
8050,14.6754,0.102869,7.3562,50308607451036796127891595433345024.00,5.8413,0.2887,14.8949,3.4406
8100,14.2338,0.019181,7.1290,67879025363802519858602095337799680.00,5.5315,0.5976,14.0415,13.9935
8150,13.8193,0.000000,7.3060,91585959501339562497457016300109824.00,5.5315,0.5976,14.0415,39.0105
8200,14.0623,0.000000,7.1976,123572604839231932869345033391702016.00,5.5315,0.5976,14.0415,29.3711
8250,13.7862,0.000000,7.2804,166730673026508416698305003625906176.00,5.5315,0.5976,14.0415,17.4493
8300,13.6655,0.000000,7.1926,224961813867252833621043019157340160.00,5.5315,0.5976,14.0415,9.3397
8350,13.8844,0.000000,7.4933,303530338969780771269646831482568704.00,5.5315,0.5976,14.0415,5.2499
8400,14.0679,0.000000,7.3601,409539135084083537527814753429225472.00,5.5315,0.5976,14.0415,25.3038
8450,13.9518,0.000000,7.4100,552571791473158001690795534274527232.00,5.5315,0.5976,14.0415,25.8153
