run_id,dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
385,5,2,symmetric,1,0.6,0.005,1,500.0,True,46630,93.26,10.51999999999982,111111111.11111109,111111111.11111109
386,5,2,symmetric,1,0.8,0.005,1,500.0,True,47071,94.142,9.369999999999845,111111111.11111109,111111111.11111109
387,5,2,symmetric,1,1.0,0.005,1,500.0,True,47375,94.75,8.569999999999862,111111111.11111109,111111111.11111109
388,5,2,symmetric,1,1.2,0.005,1,500.0,True,47601,95.202,7.959999999999875,111111111.11111109,111111111.11111109
389,5,2,symmetric,1,1.4,0.005,1,500.0,True,47777,95.554,7.479999999999885,111111111.11111109,111111111.11111109
390,5,2,symmetric,1,1.6,0.005,1,500.0,True,47920,95.84,7.089999999999893,111111111.11111109,111111111.11111109
391,5,2,symmetric,1,1.8,0.005,1,500.0,True,48039,96.078,6.7599999999999,111111111.11111109,111111111.11111109
392,5,2,symmetric,1,2.0,0.005,1,500.0,True,48138,96.276,6.479999999999906,111111111.11111109,111111111.11111109
393,5,2,symmetric,1,2.2,0.005,1,500.0,True,48225,96.45,6.239999999999911,111111111.11111109,111111111.11111109
394,5,2,symmetric,1,2.4,0.005,1,500.0,True,48301,96.602,6.029999999999916,111111111.11111109,111111111.11111109
395,5,2,symmetric,1,2.6,0.005,1,500.0,True,48367,96.734,5.82999999999992,111111111.11111109,111111111.11111109
396,5,2,clustered,0,0.6,0.001,1,100.0,True,6604,66.04,10.479999999999821,37.57969156901041,37.57969156901041
397,5,2,clustered,0,0.8,0.001,1,100.0,True,7061,70.61,9.339999999999845,66.78549533420137,66.78549533420137
398,5,2,clustered,0,1.0,0.001,1,100.0,True,7373,73.73,8.539999999999862,104.40462917751734,104.40462917751734
399,5,2,clustered,0,1.2,0.001,1,100.0,True,7602,76.02,7.939999999999875,150.31876627604163,150.31876627604163
400,5,2,clustered,0,1.4,0.001,1,100.0,True,7781,77.81,7.459999999999885,204.46595594618051,204.46595594618051
401,5,2,clustered,0,1.6,0.001,1,100.0,True,7925,79.25,7.0799999999998935,267.1419813368055,267.1419813368055
402,5,2,clustered,0,1.8,0.001,1,100.0,True,8044,80.44,6.7499999999999005,338.0116644965277,338.0116644965277
403,5,2,clustered,0,2.0,0.001,1,100.0,True,8145,81.45,6.4699999999999065,417.61851671006934,417.61851671006934
404,5,2,clustered,0,2.2,0.001,1,100.0,True,8231,82.31,6.229999999999912,505.0656467013888,505.0656467013888
405,5,2,clustered,0,2.4,0.001,1,100.0,True,8307,83.07,6.009999999999916,601.2750651041665,601.2750651041665
406,5,2,clustered,0,2.6,0.001,1,100.0,True,8373,83.73,5.81999999999992,705.1544053819443,705.1544053819443
407,5,2,clustered,0,0.6,0.005,1,100.0,True,6630,66.3,10.51999999999982,72.84991455078124,72.84991455078124
408,5,2,clustered,0,0.8,0.005,1,100.0,True,7071,70.71,9.369999999999845,129.3056911892361,129.3056911892361
409,5,2,clustered,0,1.0,0.005,1,100.0,True,7375,73.75,8.569999999999862,201.89823404947913,201.89823404947913
410,5,2,clustered,0,1.2,0.005,1,100.0,True,7601,76.01,7.959999999999875,291.39965820312494,291.39965820312494
411,5,2,clustered,0,1.4,0.005,1,100.0,True,7777,77.77,7.479999999999885,395.9924858940972,395.9924858940972
412,5,2,clustered,0,1.6,0.005,1,100.0,True,7920,79.2,7.089999999999893,517.2227647569443,517.2227647569443
413,5,2,clustered,0,1.8,0.005,1,100.0,True,8039,80.39,6.7599999999999,655.0850694444443,655.0850694444443
414,5,2,clustered,0,2.0,0.005,1,100.0,True,8138,81.38,6.479999999999906,807.5929361979165,807.5929361979165
415,5,2,clustered,0,2.2,0.005,1,100.0,True,8225,82.25,6.239999999999911,976.4648437499998,976.4648437499998
416,5,2,clustered,0,2.4,0.005,1,100.0,True,8301,83.01,6.029999999999916,1165.5986328124998,1165.5986328124998
417,5,2,clustered,0,2.6,0.005,1,100.0,True,8367,83.67,5.82999999999992,1367.0922309027776,1367.0922309027776
418,5,2,clustered,0,0.6,0.001,1,200.0,True,16604,83.02,10.479999999999821,569.7157118055554,569.7157118055554
419,5,2,clustered,0,0.8,0.001,1,200.0,True,17061,85.305,9.339999999999845,1010.9401041666665,1010.9401041666665
420,5,2,clustered,0,1.0,0.001,1,200.0,True,17373,86.865,8.539999999999862,1579.6834852430552,1579.6834852430552
421,5,2,clustered,0,1.2,0.001,1,200.0,True,17602,88.01,7.939999999999875,2278.8628472222217,2278.8628472222217
422,5,2,clustered,0,1.4,0.001,1,200.0,True,17781,88.905,7.459999999999885,3095.4025607638882,3095.4025607638882
423,5,2,clustered,0,1.6,0.001,1,200.0,True,17925,89.625,7.0799999999998935,4043.760416666666,4043.760416666666
424,5,2,clustered,0,1.8,0.001,1,200.0,True,18044,90.22,6.7499999999999005,5115.153645833332,5115.153645833332
425,5,2,clustered,0,2.0,0.001,1,200.0,True,18145,90.725,6.4699999999999065,6318.733940972221,6318.733940972221
426,5,2,clustered,0,2.2,0.001,1,200.0,True,18231,91.155,6.229999999999912,7628.459201388888,7628.459201388888
427,5,2,clustered,0,2.4,0.001,1,200.0,True,18307,91.535,6.009999999999916,9115.451388888887,9115.451388888887
428,5,2,clustered,0,2.6,0.001,1,200.0,True,18373,91.865,5.81999999999992,10670.440104166664,10670.440104166664
429,5,2,clustered,0,0.6,0.005,1,200.0,True,16630,83.15,10.51999999999982,8845.772569444443,8845.772569444443
430,5,2,clustered,0,0.8,0.005,1,200.0,True,17071,85.355,9.369999999999845,15605.119791666664,15605.119791666664
431,5,2,clustered,0,1.0,0.005,1,200.0,True,17375,86.875,8.569999999999862,24373.86458333333,24373.86458333333
432,5,2,clustered,0,1.2,0.005,1,200.0,True,17601,88.005,7.959999999999875,35383.090277777774,35383.090277777774
433,5,2,clustered,0,1.4,0.005,1,200.0,True,17777,88.885,7.479999999999885,47938.34722222221,47938.34722222221
434,5,2,clustered,0,1.6,0.005,1,200.0,True,17920,89.6,7.089999999999893,62420.47916666666,62420.47916666666
435,5,2,clustered,0,1.8,0.005,1,200.0,True,18039,90.195,6.7599999999999,79145.02083333331,79145.02083333331
436,5,2,clustered,0,2.0,0.005,1,200.0,True,18138,90.69,6.479999999999906,97495.45833333331,97495.45833333331
437,5,2,clustered,0,2.2,0.005,1,200.0,True,18225,91.125,6.239999999999911,117143.45833333331,117143.45833333331
438,5,2,clustered,0,2.4,0.005,1,200.0,True,18301,91.505,6.029999999999916,141532.3611111111,141532.3611111111
439,5,2,clustered,0,2.6,0.005,1,200.0,True,18367,91.835,5.82999999999992,164146.79166666663,164146.79166666663
440,5,2,clustered,0,0.6,0.001,1,500.0,True,46604,93.208,10.479999999999821,19672.079861111106,19672.079861111106
441,5,2,clustered,0,0.8,0.001,1,500.0,True,47061,94.122,9.339999999999845,34490.59722222222,34490.59722222222
442,5,2,clustered,0,1.0,0.001,1,500.0,True,47373,94.746,8.539999999999862,54312.357638888876,54312.357638888876
443,5,2,clustered,0,1.2,0.001,1,500.0,True,47602,95.204,7.939999999999875,78688.31944444442,78688.31944444442
444,5,2,clustered,0,1.4,0.001,1,500.0,True,47781,95.562,7.459999999999885,106933.4097222222,106933.4097222222
445,5,2,clustered,0,1.6,0.001,1,500.0,True,47925,95.85,7.0799999999998935,137962.38888888888,137962.38888888888
446,5,2,clustered,0,1.8,0.001,1,500.0,True,48044,96.088,6.7499999999999005,175137.74999999997,175137.74999999997
447,5,2,clustered,0,2.0,0.001,1,500.0,True,48145,96.29,6.4699999999999065,217249.4305555555,217249.4305555555
448,5,2,clustered,0,2.2,0.001,1,500.0,True,48231,96.462,6.229999999999912,264703.5833333333,264703.5833333333
449,5,2,clustered,0,2.4,0.001,1,500.0,True,48307,96.614,6.009999999999916,314753.2777777777,314753.2777777777
450,5,2,clustered,0,2.6,0.001,1,500.0,True,48373,96.746,5.81999999999992,368676.86111111107,368676.86111111107
451,5,2,clustered,0,0.6,0.005,1,500.0,True,46630,93.26,10.51999999999982,111111111.11111109,111111111.11111109
452,5,2,clustered,0,0.8,0.005,1,500.0,True,47071,94.142,9.369999999999845,111111111.11111109,111111111.11111109
453,5,2,clustered,0,1.0,0.005,1,500.0,True,47375,94.75,8.569999999999862,111111111.11111109,111111111.11111109
454,5,2,clustered,0,1.2,0.005,1,500.0,True,47601,95.202,7.959999999999875,111111111.11111109,111111111.11111109
455,5,2,clustered,0,1.4,0.005,1,500.0,True,47777,95.554,7.479999999999885,111111111.11111109,111111111.11111109
456,5,2,clustered,0,1.6,0.005,1,500.0,True,47920,95.84,7.089999999999893,111111111.11111109,111111111.11111109
457,5,2,clustered,0,1.8,0.005,1,500.0,True,48039,96.078,6.7599999999999,111111111.11111109,111111111.11111109
458,5,2,clustered,0,2.0,0.005,1,500.0,True,48138,96.276,6.479999999999906,111111111.11111109,111111111.11111109
459,5,2,clustered,0,2.2,0.005,1,500.0,True,48225,96.45,6.239999999999911,111111111.11111109,111111111.11111109
460,5,2,clustered,0,2.4,0.005,1,500.0,True,48301,96.602,6.029999999999916,111111111.11111109,111111111.11111109
461,5,2,clustered,0,2.6,0.005,1,500.0,True,48367,96.734,5.82999999999992,111111111.11111109,111111111.11111109
462,5,2,clustered,1,0.6,0.001,1,100.0,True,6604,66.04,10.479999999999821,37.57969156901041,37.57969156901041
463,5,2,clustered,1,0.8,0.001,1,100.0,True,7061,70.61,9.339999999999845,66.78549533420137,66.78549533420137
464,5,2,clustered,1,1.0,0.001,1,100.0,True,7373,73.73,8.539999999999862,104.40462917751734,104.40462917751734
465,5,2,clustered,1,1.2,0.001,1,100.0,True,7602,76.02,7.939999999999875,150.31876627604163,150.31876627604163
466,5,2,clustered,1,1.4,0.001,1,100.0,True,7781,77.81,7.459999999999885,204.46595594618051,204.46595594618051
467,5,2,clustered,1,1.6,0.001,1,100.0,True,7925,79.25,7.0799999999998935,267.1419813368055,267.1419813368055
468,5,2,clustered,1,1.8,0.001,1,100.0,True,8044,80.44,6.7499999999999005,338.0116644965277,338.0116644965277
469,5,2,clustered,1,2.0,0.001,1,100.0,True,8145,81.45,6.4699999999999065,417.61851671006934,417.61851671006934
470,5,2,clustered,1,2.2,0.001,1,100.0,True,8231,82.31,6.229999999999912,505.0656467013888,505.0656467013888
471,5,2,clustered,1,2.4,0.001,1,100.0,True,8307,83.07,6.009999999999916,601.2750651041665,601.2750651041665
472,5,2,clustered,1,2.6,0.001,1,100.0,True,8373,83.73,5.81999999999992,705.1544053819443,705.1544053819443
473,5,2,clustered,1,0.6,0.005,1,100.0,True,6630,66.3,10.51999999999982,72.84991455078124,72.84991455078124
474,5,2,clustered,1,0.8,0.005,1,100.0,True,7071,70.71,9.369999999999845,129.3056911892361,129.3056911892361
475,5,2,clustered,1,1.0,0.005,1,100.0,True,7375,73.75,8.569999999999862,201.89823404947913,201.89823404947913
476,5,2,clustered,1,1.2,0.005,1,100.0,True,7601,76.01,7.959999999999875,291.39965820312494,291.39965820312494
477,5,2,clustered,1,1.4,0.005,1,100.0,True,7777,77.77,7.479999999999885,395.9924858940972,395.9924858940972
478,5,2,clustered,1,1.6,0.005,1,100.0,True,7920,79.2,7.089999999999893,517.2227647569443,517.2227647569443
479,5,2,clustered,1,1.8,0.005,1,100.0,True,8039,80.39,6.7599999999999,655.0850694444443,655.0850694444443
480,5,2,clustered,1,2.0,0.005,1,100.0,True,8138,81.38,6.479999999999906,807.5929361979165,807.5929361979165
481,5,2,clustered,1,2.2,0.005,1,100.0,True,8225,82.25,6.239999999999911,976.4648437499998,976.4648437499998
482,5,2,clustered,1,2.4,0.005,1,100.0,True,8301,83.01,6.029999999999916,1165.5986328124998,1165.5986328124998
483,5,2,clustered,1,2.6,0.005,1,100.0,True,8367,83.67,5.82999999999992,1367.0922309027776,1367.0922309027776
484,5,2,clustered,1,0.6,0.001,1,200.0,True,16604,83.02,10.479999999999821,569.7157118055554,569.7157118055554
485,5,2,clustered,1,0.8,0.001,1,200.0,True,17061,85.305,9.339999999999845,1010.9401041666665,1010.9401041666665
486,5,2,clustered,1,1.0,0.001,1,200.0,True,17373,86.865,8.539999999999862,1579.6834852430552,1579.6834852430552
487,5,2,clustered,1,1.2,0.001,1,200.0,True,17602,88.01,7.939999999999875,2278.8628472222217,2278.8628472222217
488,5,2,clustered,1,1.4,0.001,1,200.0,True,17781,88.905,7.459999999999885,3095.4025607638882,3095.4025607638882
