d,Ms,geom,phi,gamma,T,n,alpha_min,alpha_max,rate_mean,rate_std,fct_mean,sal_max
1,4,clus,0,0.005,100,11,0.6,2.6,521.4854545454546,484.06261438709834,3.3057603057604967,1.3639581575982944
1,4,clus,0,0.005,200,11,0.6,2.6,557.8536363636364,524.774511933892,3.3057603057604967,1.3639581575982944
1,4,clus,0,0.005,500,11,0.6,2.6,581.9318181818181,548.4079166047511,3.3057603057604967,1.3639581575982944
1,4,clus,1,0.001,100,11,0.6,2.6,25.014545454545452,20.107536081597047,3.331422331422529,0.06816982105611634
1,4,clus,1,0.001,200,11,0.6,2.6,22.751363636363635,15.290955184505167,3.331422331422529,0.06816982105611634
1,4,clus,1,0.001,500,11,0.6,2.6,25.552545454545452,18.111674027342897,3.331422331422529,0.06816982105611634
1,4,clus,1,0.005,100,11,0.6,2.6,521.4854545454546,484.06261438709834,3.3057603057604967,1.3639581575982944
1,4,clus,1,0.005,200,11,0.6,2.6,557.8536363636364,524.774511933892,3.3057603057604967,1.3639581575982944
1,4,clus,1,0.005,500,11,0.6,2.6,581.9318181818181,548.4079166047511,3.3057603057604967,1.3639581575982944
2,1,symm,0,0.001,100,11,0.6,2.6,55.223636363636366,35.44014962517152,10.11023622047283,0.7891871773863829
2,1,symm,0,0.001,200,11,0.6,2.6,51.084999999999994,33.588562562277055,10.11023622047283,0.7891871773863829
2,1,symm,0,0.001,500,11,0.6,2.6,43.125454545454545,28.604248804552224,10.11023622047283,0.7891871773863829
2,1,symm,0,0.005,100,11,0.6,2.6,126.54818181818182,22.17422053564987,10.084037222620289,26.01561032010558
2,1,symm,0,0.005,200,11,0.6,2.6,169.10909090909092,11.087110267824935,10.084037222620289,315.51264637951857
2,1,symm,0,0.005,500,11,0.6,2.6,194.6436363636364,4.434844107129979,10.084037222620289,6478.151384663564
2,1,symm,1,0.001,100,11,0.6,2.6,55.223636363636366,35.44014962517152,10.11023622047283,0.7891871773863829
2,1,symm,1,0.001,200,11,0.6,2.6,51.084999999999994,33.588562562277055,10.11023622047283,0.7891871773863829
2,1,symm,1,0.001,500,11,0.6,2.6,43.125454545454545,28.604248804552224,10.11023622047283,0.7891871773863829
2,1,symm,1,0.005,100,11,0.6,2.6,126.54818181818182,22.17422053564987,10.084037222620289,26.01561032010558
2,1,symm,1,0.005,200,11,0.6,2.6,169.10909090909092,11.087110267824935,10.084037222620289,315.51264637951857
2,1,symm,1,0.005,500,11,0.6,2.6,194.6436363636364,4.434844107129979,10.084037222620289,6478.151384663564
2,1,clus,0,0.001,100,11,0.6,2.6,55.223636363636366,35.44014962517152,10.11023622047283,0.7891871773863829
2,1,clus,0,0.001,200,11,0.6,2.6,51.084999999999994,33.588562562277055,10.11023622047283,0.7891871773863829
2,1,clus,0,0.001,500,11,0.6,2.6,43.125454545454545,28.604248804552224,10.11023622047283,0.7891871773863829
2,1,clus,0,0.005,100,11,0.6,2.6,126.54818181818182,22.17422053564987,10.084037222620289,26.01561032010558
2,1,clus,0,0.005,200,11,0.6,2.6,169.10909090909092,11.087110267824935,10.084037222620289,315.51264637951857
2,1,clus,0,0.005,500,11,0.6,2.6,194.6436363636364,4.434844107129979,10.084037222620289,6478.151384663564
2,1,clus,1,0.001,100,11,0.6,2.6,55.223636363636366,35.44014962517152,10.11023622047283,0.7891871773863829
2,1,clus,1,0.001,200,11,0.6,2.6,51.084999999999994,33.588562562277055,10.11023622047283,0.7891871773863829
2,1,clus,1,0.001,500,11,0.6,2.6,43.125454545454545,28.604248804552224,10.11023622047283,0.7891871773863829
2,1,clus,1,0.005,100,11,0.6,2.6,126.54818181818182,22.17422053564987,10.084037222620289,26.01561032010558
2,1,clus,1,0.005,200,11,0.6,2.6,169.10909090909092,11.087110267824935,10.084037222620289,315.51264637951857
2,1,clus,1,0.005,500,11,0.6,2.6,194.6436363636364,4.434844107129979,10.084037222620289,6478.151384663564
2,2,symm,0,0.001,100,11,0.6,2.6,115.32090909090908,44.03586639423493,7.635504652827695,3.1569562268922735
2,2,symm,0,0.001,200,11,0.6,2.6,105.79,40.95059724839187,7.635504652827695,3.1569562268922735
