dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,2,clustered,1,0.6,0.001,1,200.0,True,16527,82.635,10.669999999999817,519.5541666666667,519.5541666666667
4,2,clustered,1,0.8,0.001,1,200.0,True,16994,84.97,9.509999999999842,923.0069661458333,923.0069661458333
4,2,clustered,1,1.0,0.001,1,200.0,True,17313,86.565,8.699999999999859,1444.76171875,1444.76171875
4,2,clustered,1,1.2,0.001,1,200.0,True,17549,87.745,8.079999999999872,2078.2166666666667,2078.2166666666667
4,2,clustered,1,1.4,0.001,1,200.0,True,17731,88.655,7.599999999999882,2829.374479166667,2829.374479166667
4,2,clustered,1,1.6,0.001,1,200.0,True,17878,89.39,7.199999999999891,3692.027864583333,3692.027864583333
4,2,clustered,1,1.8,0.001,1,200.0,True,18000,90.0,6.869999999999898,4668.815625,4668.815625
4,2,clustered,1,2.0,0.001,1,200.0,True,18103,90.515,6.589999999999904,5779.046875,5779.046875
4,2,clustered,1,2.2,0.001,1,200.0,True,18192,90.96,6.339999999999909,7001.871875,7001.871875
4,2,clustered,1,2.4,0.001,1,200.0,True,18269,91.345,6.119999999999914,8312.866666666667,8312.866666666667
4,2,clustered,1,2.6,0.001,1,200.0,True,18337,91.685,5.929999999999918,9787.386458333332,9787.386458333332
4,2,clustered,1,0.6,0.005,1,200.0,True,16558,82.79,10.699999999999816,7990.453645833333,7990.453645833333
4,2,clustered,1,0.8,0.005,1,200.0,True,17007,85.035,9.539999999999841,14264.005208333334,14264.005208333334
4,2,clustered,1,1.0,0.005,1,200.0,True,17317,86.585,8.719999999999859,22374.6125,22374.6125
4,2,clustered,1,1.2,0.005,1,200.0,True,17548,87.74,8.109999999999872,31961.814583333333,31961.814583333333
4,2,clustered,1,1.4,0.005,1,200.0,True,17728,88.64,7.619999999999882,43688.270833333336,43688.270833333336
4,2,clustered,1,1.6,0.005,1,200.0,True,17873,89.365,7.2199999999998905,57056.020833333336,57056.020833333336
4,2,clustered,1,1.8,0.005,1,200.0,True,17995,89.975,6.8899999999998975,72645.6,72645.6
4,2,clustered,1,2.0,0.005,1,200.0,True,18097,90.485,6.599999999999904,89498.45,89498.45
4,2,clustered,1,2.2,0.005,1,200.0,True,18185,90.925,6.349999999999909,108379.88333333333,108379.88333333333
4,2,clustered,1,2.4,0.005,1,200.0,True,18262,91.31,6.1399999999999135,127847.25833333333,127847.25833333333
4,2,clustered,1,2.6,0.005,1,200.0,True,18331,91.655,5.939999999999918,150660.43333333332,150660.43333333332
4,2,clustered,1,0.6,0.001,1,500.0,True,46527,93.054,10.669999999999817,17657.372916666667,17657.372916666667
4,2,clustered,1,0.8,0.001,1,500.0,True,46994,93.988,9.509999999999842,31894.75833333333,31894.75833333333
4,2,clustered,1,1.0,0.001,1,500.0,True,47313,94.626,8.699999999999859,49465.625,49465.625
4,2,clustered,1,1.2,0.001,1,500.0,True,47549,95.098,8.079999999999872,70629.49166666667,70629.49166666667
4,2,clustered,1,1.4,0.001,1,500.0,True,47731,95.462,7.599999999999882,97711.25,97711.25
4,2,clustered,1,1.6,0.001,1,500.0,True,47878,95.756,7.199999999999891,127579.03333333333,127579.03333333333
4,2,clustered,1,1.8,0.001,1,500.0,True,48000,96.0,6.869999999999898,160386.88333333333,160386.88333333333
4,2,clustered,1,2.0,0.001,1,500.0,True,48103,96.206,6.589999999999904,197862.5,197862.5
4,2,clustered,1,2.2,0.001,1,500.0,True,48192,96.384,6.339999999999909,241251.51666666666,241251.51666666666
4,2,clustered,1,2.4,0.001,1,500.0,True,48269,96.538,6.119999999999914,282517.9666666667,282517.9666666667
4,2,clustered,1,2.6,0.001,1,500.0,True,48337,96.674,5.929999999999918,335416.56666666665,335416.56666666665
4,2,clustered,1,0.6,0.005,1,500.0,True,46558,93.116,10.699999999999816,43690666.666666664,43690666.666666664
4,2,clustered,1,0.8,0.005,1,500.0,True,47007,94.014,9.539999999999841,43690666.666666664,43690666.666666664
4,2,clustered,1,1.0,0.005,1,500.0,True,47317,94.634,8.719999999999859,43690666.666666664,43690666.666666664
4,2,clustered,1,1.2,0.005,1,500.0,True,47548,95.096,8.109999999999872,43690666.666666664,43690666.666666664
4,2,clustered,1,1.4,0.005,1,500.0,True,47728,95.456,7.619999999999882,43690666.666666664,43690666.666666664
4,2,clustered,1,1.6,0.005,1,500.0,True,47873,95.746,7.2199999999998905,43690666.666666664,43690666.666666664
4,2,clustered,1,1.8,0.005,1,500.0,True,47995,95.99,6.8899999999998975,43690666.666666664,43690666.666666664
4,2,clustered,1,2.0,0.005,1,500.0,True,48097,96.194,6.599999999999904,43690666.666666664,43690666.666666664
4,2,clustered,1,2.2,0.005,1,500.0,True,48185,96.37,6.349999999999909,43690666.666666664,43690666.666666664
4,2,clustered,1,2.4,0.005,1,500.0,True,48262,96.524,6.1399999999999135,43690666.666666664,43690666.666666664
4,2,clustered,1,2.6,0.005,1,500.0,True,48331,96.662,5.939999999999918,43690666.666666664,43690666.666666664
4,4,symmetric,0,0.6,0.001,1,100.0,True,7549,75.49,8.079999999999872,137.67840169270832,137.67840169270832
4,4,symmetric,0,0.8,0.001,1,100.0,True,7878,78.78,7.199999999999891,244.85123697916666,244.85123697916666
4,4,symmetric,0,1.0,0.001,1,100.0,True,8103,81.03,6.589999999999904,382.2774739583333,382.2774739583333
4,4,symmetric,0,1.2,0.001,1,100.0,True,8269,82.69,6.119999999999914,550.7136067708333,550.7136067708333
4,4,symmetric,0,1.4,0.001,1,100.0,True,8398,83.98,5.759999999999922,749.4571614583333,749.4571614583333
4,4,symmetric,0,1.6,0.001,1,100.0,True,8501,85.01,5.459999999999928,979.4049479166666,979.4049479166666
4,4,symmetric,0,1.8,0.001,1,100.0,True,8588,85.88,5.199999999999934,1238.1705729166667,1238.1705729166667
4,4,symmetric,0,2.0,0.001,1,100.0,True,8660,86.6,4.989999999999938,1529.1098958333332,1529.1098958333332
4,4,symmetric,0,2.2,0.001,1,100.0,True,8722,87.22,4.799999999999942,1851.7669270833333,1851.7669270833333
4,4,symmetric,0,2.4,0.001,1,100.0,True,8777,87.77,4.6399999999999455,2202.854427083333,2202.854427083333
4,4,symmetric,0,2.6,0.001,1,100.0,True,8826,88.26,4.489999999999949,2585.4427083333335,2585.4427083333335
4,4,symmetric,0,0.6,0.005,1,100.0,True,7548,75.48,8.109999999999872,267.06061197916665,267.06061197916665
