tick,r_mean,r_rms,r_std,KE,PE,E_total,L,collisions_total,collisions_tick,fragment_ke_mean,fragment_ke_std
13800,1.9388939172011408,2.074871802518544,0.7387715308043271,2.0872061486402432e-05,-0.0009918982747714352,-0.0009710262132850327,-0.0036864304102363723,1080206,,2.0872061486402433e-07,2.1831096973789635e-07
14000,1.959396387580814,2.1019981222990674,0.7610268736937363,1.807402036592894e-05,-0.0009965278320744407,-0.0009784538117085118,-0.003574805219162714,1093950,,1.807402036592894e-07,1.5773428684611924e-07
14200,1.9555478098801273,2.101348145367912,0.7690882857736167,1.8666588657434375e-05,-0.0009953704436922086,-0.0009767038550347743,-0.0033798031447558573,1108160,,1.8666588657434376e-07,2.1568197753680836e-07
14400,1.933736393043559,2.076241070571926,0.7559368659805815,2.0090799847306554e-05,-0.000995370442450719,-0.0009752796426034126,-0.0035420782165352777,1122626,,2.0090799847306553e-07,1.7042704976649617e-07
14600,1.9118575331365741,2.041820014524835,0.7168191855015684,1.9460458749501047e-05,-0.0009918982745512161,-0.0009724378158017151,-0.0034413324346933573,1137620,,1.946045874950105e-07,2.0326021280804035e-07
14800,1.934901149546325,2.069084152395131,0.7329848369352436,2.0444452931339074e-05,-0.0009942130531301655,-0.0009737686001988265,-0.003351140243018904,1151608,,2.0444452931339077e-07,2.6908498909710806e-07
15000,1.97857942645964,2.1229955343904674,0.7696320498995013,2.3051396682391735e-05,-0.0009930556644705884,-0.0009700042677881967,-0.0034973509817533555,1164594,,2.3051396682391737e-07,3.0862585884467585e-07
15200,1.9597581924745433,2.102156762671439,0.7605332878146595,1.7336177815744172e-05,-0.0009942130536923872,-0.0009768768758766431,-0.0030522159011250032,1178856,,1.733617781574417e-07,1.5553730776332415e-07
15400,1.8769065820531141,2.012166458145853,0.7252830740703402,1.3743296136942019e-05,-0.0009930556639350125,-0.0009793123677980704,-0.002757014676796864,1195724,,1.3743296136942016e-07,1.351081179454839e-07
15600,1.924123656038766,2.0709135271774963,0.7657878252615093,1.0535190709806989e-05,-0.0009942130532864717,-0.0009836778625766647,-0.0021451142578834998,1211518,,1.0535190709806991e-07,1.3506545793293002e-07
15800,1.9143096316290817,2.05259618161744,0.7406549257532985,1.2280751937211353e-05,-0.0009918982752983609,-0.0009796175233611495,-0.002372692528582367,1226370,,1.228075193721135e-07,1.2376361902407034e-07
16000,1.9053822482772482,2.0517700526256273,0.7611036964838027,1.2328492250530891e-05,-0.0009953704427717034,-0.0009830419505211724,-0.0021792032681396275,1241746,,1.2328492250530893e-07,1.7825744450999904e-07
16200,1.9273123183435499,2.072315430499314,0.7615500450047704,8.249120127490486e-06,-0.0009965278325333882,-0.0009882787124058977,-0.0020675865918048744,1257554,,8.249120127490484e-08,9.756705333809117e-08
16400,1.935452950351488,2.081650993623539,0.7663502699350914,8.520980483060924e-06,-0.000997685221462751,-0.00098916424097969,-0.0021475495604530753,1275432,,8.520980483060924e-08,9.48889266219748e-08
16600,1.9252283163218835,2.0750168072897854,0.7740740795088681,1.1896118052609866e-05,-0.0009953704431935404,-0.0009834743251409305,-0.002439872059131723,1292096,,1.1896118052609867e-07,9.442750423574706e-08
16800,1.879777348199412,2.0186087407642526,0.73567545119178,1.2917832149453527e-05,-0.000992358741999327,-0.0009794409098498734,-0.0026747837061360416,1308060,,1.2917832149453526e-07,1.1360408529531792e-07
17000,1.8917101960900138,2.030196679849994,0.7369742823755931,1.2130171025022756e-05,-0.0009930556639642448,-0.000980925492939222,-0.002639165421103403,1322650,,1.2130171025022755e-07,1.1991372186871968e-07
17200,1.9324810445970224,2.073386653725688,0.7512983615854665,1.3777383498316879e-05,-0.000996527832124175,-0.0009827504486258582,-0.0028555946945337703,1339244,,1.3777383498316878e-07,1.665137361720611e-07
17400,1.941817091482379,2.0870879411329786,0.7650375528362058,1.4813410402558334e-05,-0.0009965278322580718,-0.0009817144218555135,-0.0027669866649581544,1355264,,1.4813410402558333e-07,1.7164058298931528e-07
17600,1.9496417464980647,2.0908376776006192,0.7553140104528214,1.819014318407846e-05,-0.0009918982756076638,-0.0009737081324235853,-0.0030706996677572996,1369668,,1.8190143184078458e-07,2.0400110617822223e-07
17800,1.8947630589707898,2.0345361604188272,0.7410872677434418,1.554408262313564e-05,-0.000996527831993376,-0.0009809837493702403,-0.0028079796117286455,1384454,,1.5544082623135638e-07,1.870349182431543e-07
18000,1.943149666506354,2.0887381505060194,0.766156925789718,1.4203788479948675e-05,-0.0009965278326751236,-0.000982324044195175,-0.0029219986122016026,1399430,,1.4203788479948676e-07,1.208232223951084e-07
18200,1.8969080397573734,2.0392875561166326,0.7486211493378934,1.565009249022334e-05,-0.0009965278321273842,-0.000980877739637161,-0.003016090008185817,1416332,,1.565009249022334e-07,1.7450945815065382e-07
18400,1.9252681385541477,2.0609440459510875,0.7354134586812283,1.659387596311157e-05,-0.0009923587416731576,-0.000975764865710046,-0.0029474527209322034,1430544,,1.6593875963111569e-07,1.7059231507667387e-07
18600,1.944697938523721,2.0905183554278786,0.7670833867856028,1.891488205730472e-05,-0.0009965278326762484,-0.0009776129506189437,-0.0033769137138142153,1446190,,1.8914882057304725e-07,1.8867096199276745e-07
18800,1.9698884180052483,2.118505524264997,0.7794903956753355,2.1615296248354768e-05,-0.0009942130541452615,-0.0009725977578969068,-0.0036943153657571334,1460560,,2.1615296248354772e-07,2.1758202075701104e-07
19000,1.9530781695213952,2.08888412154611,0.7408930671739469,2.1424119830714233e-05,-0.0009953704421077523,-0.000973946322277038,-0.003638474360685346,1473586,,2.142411983071423e-07,2.351165883261419e-07
19200,1.9825946062034567,2.1276402345711,0.7721214899345342,2.3689865044575105e-05,-0.0009965278322620415,-0.0009728379672174664,-0.003852996423308285,1486682,,2.3689865044575105e-07,2.4132253272078207e-07
19400,1.967405235747361,2.1126201896008903,0.7697276816271921,1.8859365805682488e-05,-0.000995370443204354,-0.0009765110773986716,-0.003415126943168677,1500186,,1.8859365805682488e-07,1.334279026157992e-07
19600,1.9279688713550172,2.062574119315072,0.7329038332239813,2.025547687152265e-05,-0.0009942130538646962,-0.0009739575769931735,-0.003339270159623676,1513654,,2.0255476871522648e-07,2.503290229599639e-07
19800,1.958416639529246,2.1020294815335507,0.7636309365466966,1.4161495104689106e-05,-0.0009958309100645938,-0.0009816694149599047,-0.0028781878856602872,1528062,,1.4161495104689105e-07,1.614971186636123e-07
20000,1.9074529416450443,2.052780943653695,0.7586388324080312,1.5187151884293693e-05,-0.0009953704432049968,-0.0009801832913207032,-0.0030374368271139725,1543682,,1.5187151884293693e-07,1.232160988314424e-07
20200,1.9352834461067396,2.070902911232187,0.737100299128395,1.9772157330266704e-05,-0.0009953704422422033,-0.0009755982849119366,-0.0033570511369731258,1558822,,1.9772157330266704e-07,1.9758434548410954e-07
20400,1.9344358084818891,2.0789087793030685,0.7614590044949201,1.860337042907424e-05,-0.0009976852214696867,-0.0009790818510406125,-0.00336641810257407,1571936,,1.8603370429074236e-07,1.6497287348775902e-07
20600,1.970906065976192,2.1167459082321844,0.77210266099525,2.170644371951818e-05,-0.0009942130537327358,-0.0009725066100132176,-0.003521388624887237,1585800,,2.1706443719518184e-07,2.0918551026681612e-07
20800,1.9243852956737735,2.0595430212198123,0.7337974448373317,2.293297442712675e-05,-0.0009930556635632931,-0.0009701226891361663,-0.0035477354731658865,1598536,,2.2932974427126752e-07,2.100544877199128e-07
21000,1.9140857260216224,2.0446962921058716,0.719067980368879,2.2477917796366754e-05,-0.0009923587411296382,-0.0009698808233332715,-0.003781324425827338,1611414,,2.2477917796366757e-07,2.3004065573034403e-07
21200,1.965328103261626,2.098345566129491,0.7352139562231891,2.6993216748720616e-05,-0.0009942130533181447,-0.000967219836569424,-0.0043790853877125726,1623430,,2.699321674872061e-07,2.3513185302308333e-07
21400,1.9770673149424993,2.1179479648218753,0.7595448728542498,3.165100473398728e-05,-0.0009930556642607634,-0.0009614046595267762,-0.004595131321044517,1634586,,3.165100473398729e-07,3.507857009330834e-07
21600,2.0027029529490217,2.1519896272217243,0.787553323857607,2.9906325016485305e-05,-0.0009953704436207985,-0.0009654641186043132,-0.004357415623805362,1645704,,2.9906325016485306e-07,3.664410416751216e-07
21800,2.0061355582257323,2.1526065847507576,0.7804711594509113,3.1828506262836666e-05,-0.0009930556642609469,-0.0009612271579981102,-0.004413544618826972,1657052,,3.182850626283667e-07,3.2024647111266336e-07
22000,1.9819399801208968,2.1249625311403033,0.7664069897571287,2.7462246877411864e-05,-0.0009953704423759759,-0.000967908195498564,-0.004199790684321556,1668510,,2.7462246877411867e-07,2.3703696881967576e-07
22200,1.9623029014018107,2.106425181298141,0.7657639111089943,2.6153530206213754e-05,-0.000995370443620939,-0.0009692169134147252,-0.004161954240690339,1681382,,2.6153530206213755e-07,2.2823948673487866e-07
22400,1.9865710533246266,2.133754461451942,0.7787448567141559,2.4291288148220188e-05,-0.0009942130531856465,-0.0009699217650374263,-0.0041032629663361134,1692276,,2.429128814822019e-07,1.8478019966269155e-07
22600,2.028032154273733,2.171717526008449,0.7768156756941113,3.441682654161343e-05,-0.0009930556643941095,-0.000958638837852496,-0.004821427514871714,1703486,,3.441682654161342e-07,3.54162424427952e-07
22800,2.0631774338639146,2.202052798016727,0.7696332903714654,3.565283368533073e-05,-0.0009930556641282423,-0.0009574028304429116,-0.0048115038751899005,1714676,,3.5652833685330727e-07,3.491341185789059e-07
23000,1.9576931646773348,2.0984237360059836,0.7555260742085275,3.1649531607048185e-05,-0.0009953704427911748,-0.0009637209111841266,-0.0046171361423853145,1725328,,3.1649531607048194e-07,2.7839786737811656e-07
23200,2.0064983927514373,2.144616161607482,0.7571939517150873,3.384092191967909e-05,-0.0009942130542816593,-0.0009603721323619802,-0.004850710570830095,1736512,,3.384092191967909e-07,3.381311035209897e-07
23400,1.9966402529928036,2.1387649974790235,0.7666442555516094,3.320604900906735e-05,-0.0009953704427912166,-0.0009621643937821493,-0.004789934917677933,1747302,,3.3206049009067355e-07,2.984367127138427e-07
23600,1.9997415354128134,2.1391648297146952,0.7596446275944465,3.4108914558747004e-05,-0.0009942130529038095,-0.0009601041383450624,-0.004832363523286711,1757742,,3.4108914558747004e-07,3.1989575957967274e-07
23800,1.962599858092454,2.104493314931802,0.7596669728296247,2.9931574158486395e-05,-0.0009953704427912485,-0.0009654388686327622,-0.004347101901169222,1769074,,2.9931574158486393e-07,2.5415951691727944e-07
24000,1.9820469443933788,2.11878854697661,0.7488356408586095,2.9842397239507804e-05,-0.0009907408851675024,-0.0009608984879279946,-0.0042346081216673185,1781452,,2.9842397239507803e-07,3.680720747633944e-07
24200,2.010903571594541,2.1541304506755092,0.7723631427481454,3.173827231050941e-05,-0.0009918982753368804,-0.000960160003026371,-0.0045445838123411315,1792410,,3.17382723105094e-07,3.41556914145349e-07
24400,1.9887986953696373,2.134227369300025,0.7743424392123496,3.385019417001858e-05,-0.0009953704427912015,-0.0009615202486211829,-0.0046156114571283425,1804060,,3.3850194170018583e-07,3.1848883815652646e-07
24600,1.982052014086813,2.11946020133408,0.750720559524987,2.7252773173710087e-05,-0.00099305566426137,-0.0009658028910876598,-0.004378137116596226,1814590,,2.725277317371009e-07,2.1211508139625431e-07
24800,2.0143308891981038,2.156662158519153,0.7704951231583937,3.359424287348387e-05,-0.0009900439632816217,-0.0009564497204081378,-0.0048418038806217105,1825168,,3.3594242873483866e-07,3.371137648321384e-07
25000,2.007984457063132,2.1474022660815573,0.7611405340441978,3.2337042032945164e-05,-0.0009907408859974648,-0.0009584038439645196,-0.004830165396465539,1836448,,3.233704203294516e-07,2.5242921903040887e-07
25200,1.9989174740144404,2.1371232739873767,0.7560587413013963,3.7124180813348424e-05,-0.00099120135248804,-0.0009540771716746916,-0.0051448724690632466,1847234,,3.712418081334842e-07,3.4545835265842473e-07
25400,1.9746238567344683,2.1101486741327027,0.744034979929773,3.458197883744701e-05,-0.0009930556639955828,-0.0009584736851581358,-0.004918966156534131,1857558,,3.4581978837447007e-07,3.533225888216758e-07
25600,2.0511417910568586,2.189017215444643,0.7646003678347791,4.218496112763955e-05,-0.0009900439631486686,-0.0009478590020210291,-0.005727018024391317,1867684,,4.2184961127639543e-07,3.8274377464200283e-07
25800,2.0718874279631807,2.207976505973161,0.763179360817339,5.173271609644142e-05,-0.0009870322621687625,-0.000935299546072321,-0.006183962764561435,1876918,,5.173271609644142e-07,5.140794326115427e-07
26000,2.0390474297459544,2.1754625824620883,0.7582367881730849,4.554348007502541e-05,-0.000988886573261287,-0.0009433430931862616,-0.005952675380574698,1885560,,4.554348007502541e-07,3.0763303703398377e-07
26200,2.0663854028768283,2.2030601050682503,0.7638882073450916,5.288447021426512e-05,-0.000987032261205913,-0.0009341477909916478,-0.006529415352929734,1894238,,5.288447021426511e-07,4.259873556722593e-07
26400,2.0755874367824942,2.209795937534739,0.7583764749883202,5.1719719603279394e-05,-0.0009812453167868417,-0.0009295255971835623,-0.006604840545096684,1903276,,5.171971960327938e-07,3.6218412107274133e-07
26600,2.0951870453937755,2.224252533134359,0.7466529153286102,5.0606478981826474e-05,-0.0009907408850346612,-0.0009401344060528347,-0.006546374133818831,1911292,,5.060647898182647e-07,3.4484910954625977e-07
26800,2.1258500884754024,2.2492945122776185,0.7349062554444165,6.183721466440723e-05,-0.0009907408857155874,-0.0009289036710511801,-0.006921267723379869,1919862,,6.183721466440725e-07,5.373458357756678e-07
27000,2.0763772362698383,2.2039390791885087,0.7389215367511762,5.515584697631876e-05,-0.0009877291839218488,-0.00093257333694553,-0.00659005396093673,1928602,,5.515584697631875e-07,4.6656468834093566e-07
27200,2.129877899051732,2.254651033545111,0.7396427639049923,4.987867296719592e-05,-0.000984717484734922,-0.0009348388117677262,-0.006454295591786613,1937010,,4.987867296719591e-07,3.92141165584254e-07
27400,2.0937941523900223,2.231155164542931,0.7707654738530657,5.2054998470109184e-05,-0.0009918982753370003,-0.0009398432768668912,-0.006486630981233834,1946248,,5.205499847010918e-07,4.3836444438586627e-07
27600,2.0669248722940154,2.199498318239801,0.7520734167832823,5.539672893609838e-05,-0.000990740885449693,-0.0009353441565135947,-0.006507731797556231,1953906,,5.539672893609838e-07,4.5177374121210673e-07
27800,2.0350248403186466,2.1684636576393004,0.7489382710133592,4.671860854714708e-05,-0.0009918982750549814,-0.0009451796665078343,-0.005882845078408967,1963268,,4.671860854714707e-07,4.03422626181079e-07
28000,2.0538398255577444,2.195504647396201,0.7758753944360224,5.044106830208669e-05,-0.000991898274922071,-0.0009414572066199843,-0.006123466079806186,1972194,,5.04410683020867e-07,4.52323041563656e-07
28200,2.0564371147912928,2.1851650642481966,0.7389267561265379,4.8556359476016995e-05,-0.0009918982749220725,-0.0009433419154460554,-0.006244233441333527,1981668,,4.855635947601701e-07,3.8806665896631626e-07
28400,2.0697237077331794,2.19970519813433,0.7449474695214517,5.3757337422872765e-05,-0.0009930556634315845,-0.0009392983260087118,-0.006503597964729363,1991760,,5.375733742287276e-07,4.779442926057632e-07
28600,2.072585594405285,2.2083922543537016,0.7624862641078305,5.786105487757097e-05,-0.0009907408862796516,-0.0009328798314020806,-0.006819417116861093,2000352,,5.786105487757097e-07,4.54756075904442e-07
28800,2.128868657214881,2.26382564766176,0.7699511694512187,5.816104204525023e-05,-0.0009895834965251754,-0.0009314224544799252,-0.006938592289897508,2008282,,5.816104204525023e-07,4.793820830329362e-07
29000,2.1353960537516246,2.2627206097331998,0.7483236274055315,6.417836662833401e-05,-0.00098471748405402,-0.0009205391174256859,-0.007424002735303101,2015758,,6.417836662833401e-07,4.4949581980262277e-07
29200,2.1949345227432464,2.3248627692075927,0.7663219535661702,6.793026957892489e-05,-0.0009854144064878336,-0.0009174841369089088,-0.00760086753138075,2023576,,6.793026957892489e-07,5.549176010804132e-07
29400,2.11443761608606,2.25146915031706,0.773477150606095,5.827610020620897e-05,-0.0009865717957486821,-0.0009282956955424731,-0.006813371479410358,2032204,,5.827610020620897e-07,4.5824463268108805e-07
29600,2.0651312606234873,2.1964898001214235,0.7481980476004302,5.777726303541e-05,-0.0009930556641124285,-0.0009352784010770185,-0.006896797377258244,2041200,,5.777726303541e-07,4.2271659593889393e-07
29800,2.0738729663538034,2.2019655131838083,0.7400696188046834,5.6408672345409286e-05,-0.0009918982743741505,-0.0009354896020287413,-0.006852958267838025,2049790,,5.640867234540929e-07,3.404602209474937e-07
30000,2.092228637216869,2.2282405429871477,0.7665737061896287,5.759180381301852e-05,-0.0009877291852997522,-0.0009301373814867337,-0.0067538872408168475,2058530,,5.759180381301852e-07,4.370942855694449e-07
30200,2.0924794521423107,2.23028770927222,0.7718244674101378,6.327729284654646e-05,-0.0009918982750550729,-0.0009286209822085264,-0.0070177303897157465,2066744,,6.327729284654647e-07,4.663661109943071e-07
30400,2.0275176403157307,2.161107404655649,0.7480357161700268,5.676965387905742e-05,-0.0009895834961102462,-0.0009328138422311889,-0.0064877041217763195,2075152,,5.676965387905742e-07,4.467478370450358e-07
30600,2.049123841900579,2.177994005446325,0.7380713842947298,4.6616524831070844e-05,-0.0009881896517116085,-0.0009415731268805377,-0.005973286125897042,2084472,,4.661652483107084e-07,4.494099375279812e-07
30800,2.0426863969511246,2.170197069272017,0.7329308311073305,4.301777633437583e-05,-0.0009907408864125696,-0.0009477231100781938,-0.005906172271044421,2093594,,4.3017776334375825e-07,3.232607775423319e-07
31000,2.0530167678200097,2.195607370368644,0.7783404626941813,4.4790529153156625e-05,-0.0009930556643945342,-0.0009482651352413777,-0.005619622679761491,2102196,,4.4790529153156623e-07,4.11564156276292e-07
