[PiDrift t=186] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=187] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=188] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=189] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=190] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=191] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=192] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=193] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=194] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=195] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=196] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=197] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=198] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=199] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=200] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=201] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=202] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=203] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=204] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=205] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=206] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
