tick,alpha,G,h,Lambda,alpha_drift,G_drift,h_drift,Lambda_drift
1500,0.9660931689173791,0.9962816016847964,0,0.0,0.0023222843681441623,0.0012775474751281386,517.3307840000001,2.6246684084633838e-05
1510,0.9472983171522412,0.9961267244620134,0,0.0,0.0023080472179035434,0.0012741230226249373,515.0001859567562,2.6236234048665127e-05
1520,0.9479333566692214,0.99679392370039,0,0.0,0.0022928982201387395,0.0012708708508520532,512.685934903047,2.6071426641763095e-05
1530,0.948535402281074,0.9974275299742753,0,0.0,0.0022779393955992223,0.001267516265304245,510.3879892349097,2.5908672293518544e-05
1540,0.9570748903723334,0.9953558342332445,0,0.0,0.0022637735726686106,0.0012639288241260097,508.1063012312364,2.5844249902799557e-05
1550,0.959588603182123,0.9979716024340771,0,0.0,0.002250189840366296,0.001260591522388278,505.8408174817899,2.5685042119849284e-05
1560,0.960183519945118,0.9985901225890476,0,0.0,0.0022368167491888767,0.0012573481263653302,503.5914792899408,2.552777955144493e-05
1570,0.9594218753593512,0.9977968779441393,0,0.0,0.0022235840385430093,0.0012540492344502371,501.35822305164515,2.53724268489005e-05
1580,0.9698083997494896,0.9986140222438398,0,0.0,0.0022112810376781894,0.0012506281397175285,499.1409806120814,2.5218949512623507e-05
1590,0.9699976214261928,0.9988090512107979,0,0.0,0.002200481758479205,0.0012473775035322968,496.9396796012816,2.506731386684538e-05
1600,0.9700016600973892,0.9988130635191463,0,0.0,0.0021898051228844543,0.0012441431695191804,494.75424375,2.4917487035246204e-05
1610,0.9688478638036812,0.9976244882701572,0,0.0,0.002179181902854593,0.0012408408610631637,492.5845931869912,2.4769436917437115e-05
1620,0.9602048025364723,0.9978592359929109,0,0.0,0.0021668120368613162,0.001237339794539119,490.43064471879285,2.4711709354007212e-05
1630,0.9615189094500434,0.998858960747494,0,0.0,0.002154509462673047,0.0012339306793244464,488.2923120930407,2.4609304077341717e-05
1640,0.9620662713837853,0.9990683907550619,0,0.0,0.0021424766604430843,0.001230603200429509,486.16950624628197,2.450724922444485e-05
1650,0.9617088822277748,0.998696975147095,0,0.0,0.002130626344313122,0.0012273578821925472,484.06213553719004,2.4365246339168083e-05
1660,0.9620720378411415,0.9987217884265697,0,0.0,0.0021188770705043466,0.0012240085945645234,481.9701059660328,2.4265020594027466e-05
1670,0.9625962299192274,0.9992663242846662,0,0.0,0.002107349132530325,0.001220763635454038,479.8933213811897,2.412608330597749e-05
1680,0.96241926346218,0.9990825688073395,0,0.0,0.0020959219665573534,0.0012174641322037483,477.8316836734694,2.3988724743189895e-05
1690,0.9618911121857234,0.9985340616657126,0,0.0,0.0020846277860681853,0.0012141787616069151,475.78509295893,2.385291820955768e-05
1700,0.9627730620308911,0.9994499449944995,0,0.0,0.0020734771676601204,0.0012109316768959555,473.753447750865,2.3718637606040224e-05
1710,0.9613487597092654,0.9972314689123875,0,0.00909090909090909,0.002062456032587161,0.0012076254610121472,471.73664512157586,2.3661853906804094e-05
1720,0.9617580311480294,0.997710589493681,0,0.0,0.0020516306219386642,0.0012043394532061207,469.7345808545159,2.3530231922085804e-05
1730,0.9610878725314681,0.9970146681669353,0,0.0,0.0020408935404679367,0.0012010038807878229,467.7471495873567,2.3400063225537588e-05
1740,0.9636174378056637,0.9993067590987869,0,0.0,0.002030309993156763,0.0011976466565096113,465.7742449464923,2.3307619671411175e-05
1750,0.9725522103078971,0.9993194964273563,0,0.0,0.0020202300469300996,0.0011943450965897849,463.81575967346936,2.31801378119218e-05
1760,0.9724052586598861,0.9986861553621285,0,0.0,0.0020118511093531314,0.0011910762978979725,461.87158574380163,2.312371712990966e-05
1770,0.9716084440948345,0.9978675335376759,0,0.0,0.0020036632991683677,0.0011878757192407012,459.941614478598,2.299870064605162e-05
1780,0.9639680663090976,0.9983948659184845,0,0.0,0.001993684648657193,0.001184605505647588,458.025736649413,2.2941218067343428e-05
