[Constants t=1600] α=0.9700 (drift=0.002190), G=0.9988 (drift=0.001244), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1610] α=0.9688 (drift=0.002179), G=0.9976 (drift=0.001241), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1620] α=0.9602 (drift=0.002167), G=0.9979 (drift=0.001237), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1630] α=0.9615 (drift=0.002155), G=0.9989 (drift=0.001234), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1640] α=0.9621 (drift=0.002142), G=0.9991 (drift=0.001231), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1650] α=0.9617 (drift=0.002131), G=0.9987 (drift=0.001227), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1660] α=0.9621 (drift=0.002119), G=0.9987 (drift=0.001224), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1670] α=0.9626 (drift=0.002107), G=0.9993 (drift=0.001221), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1680] α=0.9624 (drift=0.002096), G=0.9991 (drift=0.001217), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1690] α=0.9619 (drift=0.002085), G=0.9985 (drift=0.001214), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1700] α=0.9628 (drift=0.002073), G=0.9994 (drift=0.001211), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1710] α=0.9613 (drift=0.002062), G=0.9972 (drift=0.001208), h=0, Λ=0.0091 (drift=0.000024)
[Constants t=1720] α=0.9618 (drift=0.002052), G=0.9977 (drift=0.001204), h=0, Λ=0.0000 (drift=0.000024)
[Constants t=1730] α=0.9611 (drift=0.002041), G=0.9970 (drift=0.001201), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1740] α=0.9636 (drift=0.002030), G=0.9993 (drift=0.001198), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1750] α=0.9726 (drift=0.002020), G=0.9993 (drift=0.001194), h=0, Λ=0.0000 (drift=0.000023)
[Constants t=1760] α=0.9724 (drift=0.002012), G=0.9987 (drift=0.001191), h=0, Λ=0.0000 (drift=0.000023)
